1	4	6	12.6	2.0536
2	2	20.654	12.6	2.1429
3	3	35.396	12.6	2.1429
4	1	50.139	12.6	3.8393
5	4	66.579	12.6	4.4107
6	2	83.589	12.6	6.4643
7	3	102.65	12.6	6.6964
8	1	121.95	12.6	3.875
9	4	138.42	12.6	3.625
10	2	154.65	12.6	2.1607
11	3	169.41	12.6	3.8036
12	1	185.81	12.6	4.7321
13	2	203.15	12.6	4.2857
14	4	220.03	12.6	6.2143
15	1	238.85	12.6	2.2679
16	3	253.71	12.6	4.8929
17	2	271.21	12.6	6.9286
18	4	290.74	12.6	5
19	1	308.34	12.6	4.1429
20	3	325.08	12.6	2.3393
21	2	340.02	12.6	2.75
22	4	355.37	12.6	4.5179
23	1	372.49	12.6	2.3929
24	3	387.48	12.6	8
